itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
7423-1	en-route,	en route,	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
7426-1	9 kwh	9-kilowatt-hour	script identifiable	numbers	11	major	10	1	0	0	0	0	0	0	0	1	0	0	0
7428-1	half-meter	half meter	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
7428-2	3/4	three-quarters of a	script identifiable	numbers	19	major	16	2	0	0	0	0	0	0	0	1	0	0	0
7429-1	kwh	kilowatt hour	other	expansion	10	major	10	1	0	0	0	0	0	0	0	0	0	1	0
7431-1	mass	mass,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7432-1	shit	things	other	tbc	4	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
7434-1	The Hab mostly uses the batteries at night.		other	deletion	43	major	-43	-8	0	1	0	0	0	0	0	0	0	0	0
7436-1		The Hab mostly uses the batteries at night.	other	insertion	43	major	43	8	1	0	0	0	0	0	0	0	0	0	0
7440-1	today,	today.	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
7442-1	vessel.	vessel, so	other	tbc	4	minor	3	0	0	0	0	0	0	0	0	0	0	0	1
7442-2	in. (No	in (no	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7445-1	29	twenty-nine	script identifiable	numbers	11	major	9	1	0	0	0	0	0	0	0	1	0	0	0
7445-2	kwh	kilowatt-hours	other	expansion	11	major	11	1	0	0	0	0	0	0	0	0	0	1	0
7446-1	km	kilometers	other	expansion	8	major	8	0	0	0	0	0	0	0	0	0	0	1	0
7447-1	4	Four	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
7447-2	5,	five,	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
7448-1	calender,	calendar,	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7452-1	now		other	deletion	3	minor	-3	0	0	1	0	0	0	0	0	0	0	0	0
7456-1	Chapter	CHAPTER	script-identifiable	capitalization	6	major	0	0	0	0	1	0	0	0	0	0	0	0	0
